date,LHX,ENB,CRM,vwretd
2015-05-26,-0.014578,-0.034113,-0.019197,-0.010462
2015-05-27,0.013908,-0.005133,0.005165,0.008653
2015-05-28,-0.011722,0.003096,-0.017174,-0.001203
2015-05-29,-0.000379,-0.013992,0.000963,-0.005829
2015-06-01,0.006059,0.006887,0.004811,0.001528
2015-06-02,-0.011167,0.012435,-0.002736,0.000372
2015-06-03,-0.003299,-0.008598,0.007819,0.002647
2015-06-04,-0.009548,-0.022713,-0.017150,-0.008883
2015-06-05,0.008869,-0.007395,0.018557,-0.000015
2015-06-08,-0.006243,-0.033418,-0.023250,-0.006516
2015-06-09,0.000128,0.012112,-0.001114,-0.000033
2015-06-10,0.011537,0.008486,0.017698,0.011505
2015-06-11,-0.003422,-0.006904,-0.008627,0.001897
2015-06-12,-0.004959,-0.016076,-0.008702,-0.006154
2015-06-15,-0.002939,0.000000,0.011007,-0.004048
2015-06-16,0.007434,-0.003091,0.011577,0.004953
2015-06-17,0.000000,0.005316,0.013896,0.001723
2015-06-18,0.005471,0.001542,0.017334,0.009278
2015-06-19,0.001771,0.028157,-0.009378,-0.004858
2015-06-22,0.012757,0.020111,-0.002933,0.005845
2015-06-23,-0.006610,0.012584,-0.007756,0.001287
2015-06-24,-0.008537,0.010563,-0.009434,-0.007414
2015-06-25,-0.007218,-0.005329,0.001497,-0.002654
2015-06-26,-0.001658,-0.008654,-0.017253,-0.000814
2015-06-29,-0.014820,-0.027437,-0.032347,-0.021502
2015-06-30,-0.002594,0.000000,-0.005286,0.002975
2015-07-01,0.006111,-0.011327,0.013069,0.005472
2015-07-02,0.004652,0.013835,-0.001701,-0.000554
2015-07-06,-0.013764,-0.029638,-0.017893,-0.004518
2015-07-07,0.009652,0.014063,0.015905,0.004976
2015-07-08,-0.007363,-0.008884,-0.012383,-0.016512
2015-07-09,0.021473,-0.012243,0.008214,0.002742
2015-07-10,0.010957,0.006640,0.016867,0.012674
2015-07-13,0.011468,0.013852,-0.001265,0.010250
2015-07-14,0.006604,-0.010410,0.010415,0.004722
2015-07-15,0.016215,-0.007890,-0.005990,-0.002478
2015-07-16,0.002680,0.011928,0.014854,0.006972
2015-07-17,-0.001822,0.001091,0.005385,-0.000638
2015-07-20,-0.007545,-0.022678,-0.000549,-0.001222
2015-07-21,-0.003188,-0.006693,0.014567,-0.004063
2015-07-22,0.003937,-0.039308,0.000542,-0.002359
2015-07-23,0.005882,-0.008183,-0.022472,-0.005452
2015-07-24,-0.012791,0.003772,0.023681,-0.010027
2015-07-27,-0.013944,-0.012682,-0.019751,-0.007086
2015-07-28,0.007383,0.018792,0.018355,0.012261
2015-07-29,0.015901,0.000700,0.001220,0.007577
2015-07-30,0.006848,0.009099,-0.007038,0.000803
2015-07-31,0.007287,0.007168,-0.000818,-0.000764
2015-08-03,-0.007837,-0.016529,-0.011733,-0.003671
2015-08-04,-0.000122,0.018674,-0.007593,-0.001717
2015-08-05,0.009480,-0.010770,0.008902,0.002575
2015-08-06,-0.001445,-0.000463,-0.028954,-0.007848
2015-08-07,-0.016518,-0.014137,-0.000284,-0.003275
2015-08-10,0.037023,0.014339,0.012214,0.013132
2015-08-11,-0.019624,-0.007648,0.005051,-0.009257
2015-08-12,0.005788,0.004804,-0.008237,0.000704
2015-08-13,-0.009951,-0.014061,0.005068,-0.002045
2015-08-14,0.003512,0.014500,0.022269,0.003786
2015-08-17,0.001810,-0.000234,0.014386,0.005742
2015-08-18,-0.004698,-0.008671,-0.019719,-0.003505
2015-08-19,-0.007745,-0.027423,-0.007440,-0.008794
2015-08-20,-0.021710,-0.031113,-0.058579,-0.021636
2015-08-21,-0.022316,-0.005268,0.019611,-0.028014
2015-08-24,-0.041316,-0.038588,-0.057556,-0.038574
2015-08-25,-0.018888,-0.006296,0.000153,-0.010297
2015-08-26,0.028199,0.011616,0.051243,0.033787
2015-08-27,0.016087,0.046973,0.020724,0.024411
2015-08-28,0.006229,0.010967,0.004432,0.002532
2015-08-31,-0.009286,0.016519,-0.012669,-0.007265
2015-09-01,-0.028378,-0.031773,-0.039360,-0.028174
2015-09-02,0.009378,-0.003757,0.020261,0.016353
2015-09-03,0.005442,0.026150,0.003972,0.001834
2015-09-04,-0.023630,-0.009066,-0.016410,-0.013754
2015-09-08,0.040833,0.007666,0.054074,0.023691
2015-09-09,-0.012341,-0.008589,-0.024449,-0.012783
2015-09-10,-0.006090,-0.003960,0.010285,0.004395
2015-09-11,-0.013055,-0.026591,0.004445,0.003428
2015-09-14,-0.002564,-0.023743,-0.002284,-0.004221
2015-09-15,0.000406,-0.003923,0.019745,0.011419
2015-09-16,0.008251,0.033342,0.008559,0.009522
2015-09-17,0.001476,-0.008130,0.006121,-0.000704
2015-09-18,-0.019826,-0.005379,-0.012721,-0.015322
2015-09-21,0.004373,0.027813,0.010364,0.003336
2015-09-22,-0.016465,-0.009271,-0.006792,-0.013653
2015-09-23,0.002352,-0.020486,0.004745,-0.003487
2015-09-24,-0.012422,-0.011361,-0.003889,-0.003706
2015-09-25,0.009364,0.006007,0.010180,-0.002118
2015-09-28,-0.026862,-0.032451,-0.046935,-0.027043
2015-09-29,0.011241,-0.030051,-0.009560,-0.000916
2015-09-30,0.029267,0.027109,0.015355,0.019430
2015-10-01,0.001230,0.006464,0.050122,0.001947
2015-10-02,0.009831,0.041210,0.013990,0.015168
2015-10-05,0.010546,0.063737,0.018125,0.018766
2015-10-06,-0.004014,0.005799,-0.011293,-0.003110
2015-10-07,0.003896,0.027624,0.007794,0.009818
2015-10-08,0.010304,0.003039,0.001200,0.008529
2015-10-09,0.003046,-0.005127,0.002131,0.001438
2015-10-12,0.016770,-0.005622,0.008372,-0.000202
2015-10-13,-0.018571,0.007538,0.009884,-0.007799
2015-10-14,0.006087,0.008417,-0.013702,-0.004294
2015-10-15,0.005393,0.016926,0.028050,0.014711
2015-10-16,0.001831,-0.000228,0.013771,0.003420
2015-10-19,-0.016323,-0.016192,-0.010664,-0.000678
2015-10-20,0.012877,0.015531,-0.005133,-0.001171
2015-10-21,-0.017431,-0.006391,-0.021927,-0.008024
2015-10-22,0.013739,0.003216,0.020309,0.013929
2015-10-23,0.006447,-0.010762,0.015381,0.009499
2015-10-26,-0.012943,-0.021296,-0.004328,-0.002802
2015-10-27,-0.007815,-0.019395,-0.006009,-0.004495
2015-10-28,0.050193,0.040280,0.010032,0.013657
